iter	Passed	Remaining
0	1	176
1	2	141
2	3	125
3	4	115
4	5	111
5	6	105
6	7	102
7	8	100
8	9	99
9	10	97
10	11	95
11	12	93
12	13	92
13	14	90
14	15	88
15	16	87
16	17	86
17	18	84
18	19	83
19	20	82
20	21	80
21	22	79
22	23	78
23	24	78
24	25	76
25	26	75
26	27	74
27	28	74
28	29	72
29	30	71
30	31	70
31	32	69
32	33	68
33	34	67
34	35	66
35	36	65
36	37	64
37	38	63
38	39	62
39	40	61
40	41	59
41	42	58
42	43	57
43	44	56
44	45	55
45	46	54
46	47	53
47	48	52
48	49	51
49	50	50
50	51	49
51	52	48
52	53	47
53	54	46
54	55	45
55	56	44
56	57	43
57	58	42
58	59	41
59	60	40
60	61	39
61	62	38
62	63	37
63	64	36
64	65	35
65	66	34
66	67	33
67	68	32
68	69	31
69	70	30
70	71	29
71	72	28
72	73	27
73	74	26
74	76	25
75	77	24
76	78	23
77	79	22
78	81	21
79	82	20
80	83	19
81	84	18
82	85	17
83	87	16
84	88	15
85	89	14
86	90	13
87	92	12
88	93	11
89	94	10
90	95	9
91	97	8
92	98	7
93	99	6
94	100	5
95	102	4
96	103	3
97	104	2
98	105	1
99	107	0
